[ 2026-05-05 19:14:30,882 ] 13 root - INFO - Initiate the data ingestion
[ 2026-05-05 19:14:33,349 ] 61 root - INFO - Performed train test split on the dataframe
[ 2026-05-05 19:14:33,352 ] 62 root - INFO - Exited split_dta_as_train_test meth od Data Ingestion class
[ 2026-05-05 19:14:33,352 ] 66 root - INFO - Exploring train and test file path
[ 2026-05-05 19:14:33,396 ] 71 root - INFO - Exported train and test split data
[ 2026-05-05 19:14:33,396 ] 15 root - INFO - Data Initiation completed
[ 2026-05-05 19:14:33,414 ] 18 root - INFO - Initiate Data Validation
[ 2026-05-05 19:14:33,508 ] 33 root - INFO - Required number of columns : 2
[ 2026-05-05 19:14:33,519 ] 34 root - INFO - Dataframe has columns : 31
[ 2026-05-05 19:14:33,519 ] 33 root - INFO - Required number of columns : 2
[ 2026-05-05 19:14:33,519 ] 34 root - INFO - Dataframe has columns : 31
[ 2026-05-05 19:14:33,683 ] 20 root - INFO - data validation completed
